ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): LOUISIANA

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency Type [District] 2016-17,Total Students All Grades (Includes AE) [District] 2016-17,Male Students [District] 2016-17,Female Students [District] 2016-17,American Indian/Alaska Native - male [District] 2016-17,American Indian/Alaska Native - female [District] 2016-17,Asian or Asian/Pacific Islander - male [District] 2016-17,Asian or Asian/Pacific Islander - female [District] 2016-17,Hispanic - male [District] 2016-17,Hispanic - female [District] 2016-17,Black or African American - male [District] 2016-17,Black or African American - female [District] 2016-17,White - male [District] 2016-17,White - female [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - male [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - female [District] 2016-17,Two or More Races - male [District] 2016-17,Two or More Races - female [District] 2016-17,Full-Time Equivalent (FTE) Teachers [District] 2016-17,Pupil/Teacher Ratio [District] 2016-17,Kindergarten Teachers [District] 2016-17,Elementary Teachers [District] 2016-17,Secondary Teachers [District] 2016-17,Total Staff [District] 2016-17,Total General Revenue (TOTALREV) [District Finance] 2016-17,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2016-17,Total Revenue - State Sources (TSTREV) [District Finance] 2016-17,Total Revenue - Local Sources (TLOCREV) [District Finance] 2016-17,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2016-17,Instruction Expenditures - Total (E13) [District Finance] 2016-17,Salary - Instruction Expenditures (Z33) [District Finance] 2016-17
BATON ROUGE COLLEGE PREPARATORY INC,LOUISIANA,LOUISIANA,RSD-Baton Rouge College Preparatory Inc.,7-Independent Charter District,167,76,81,–,–,–,–,2,3,79,83,–,–,–,–,–,–,12.17,13.72,†,12.17,="0.00",18.83,2168000,328000,720000,1120000,12982,1055000,703000
BATON ROUGE UNIVERSITY PREPARATORY ELEMENTARY,LOUISIANA,LOUISIANA,RSD-Baton Rouge University Preparatory School Inc.,7-Independent Charter District,252,138,105,–,–,–,–,5,6,138,102,–,1,–,–,–,–,24.56,10.26,5.89,18.67,†,31.20,3941000,1100000,1230000,1611000,15639,1669000,1000000
BEAUREGARD PARISH,Louisiana,LOUISIANA,Beauregard Parish,1-Regular local school district that is NOT a component of a supervisory union,5952,3106,2846,16,19,17,16,109,119,400,389,2420,2156,2,1,142,146,499.75,11.91,28.03,259.79,208.93,919.78,63841000,5180000,34775000,23886000,10726,35240000,21958000
BELLE CHASSE ACADEMY,Louisiana,LOUISIANA,Belle Chasse Academy Inc.,7-Independent Charter District,960,489,471,6,7,10,13,78,80,156,137,186,176,1,1,52,57,59.00,16.27,="0.00",59.00,="0.00",201.15,15982000,4145000,11324000,513000,16648,7487000,6102000
BIENVILLE PARISH,Louisiana,LOUISIANA,Bienville Parish,1-Regular local school district that is NOT a component of a supervisory union,2262,1122,1138,1,1,1,3,15,15,558,536,528,559,–,–,20,25,260.20,8.69,6.94,118.83,120.03,484.56,36124000,3063000,7592000,25469000,15970,18214000,11763000
BOSSIER PARISH,Louisiana,LOUISIANA,Bossier Parish,1-Regular local school district that is NOT a component of a supervisory union,22251,11507,10744,41,39,180,204,959,875,3234,3087,6682,6170,26,22,385,347,1265.04,17.59,82.00,804.24,356.80,2558.16,260544000,20068000,123571000,116905000,11709,133967000,83350000
CADDO PARISH,Louisiana,LOUISIANA,Caddo Parish,1-Regular local school district that is NOT a component of a supervisory union,39921,20107,19814,31,33,216,218,681,646,12837,12664,5956,5864,11,7,375,382,2398.15,16.65,168.83,1457.85,752.64,5201.93,495223000,54134000,215358000,225731000,12405,248412000,143895000
CALCASIEU PARISH,Louisiana,LOUISIANA,Calcasieu Parish,1-Regular local school district that is NOT a component of a supervisory union,32397,16696,15701,38,46,248,246,656,658,5454,5174,9947,9231,11,10,342,336,2647.46,12.24,150.72,1586.31,800.93,5314.84,434969000,45200000,153231000,236538000,13426,215871000,141590000
CALDWELL PARISH,Louisiana,LOUISIANA,Caldwell Parish,1-Regular local school district that is NOT a component of a supervisory union,1562,785,777,="0",="0",2,1,20,21,142,131,607,610,="0",1,14,13,138.99,11.24,7.00,80.67,51.32,237.07,21611000,3015000,12773000,5823000,13835,11165000,6914000
CAMERON PARISH,Louisiana,LOUISIANA,Cameron Parish,1-Regular local school district that is NOT a component of a supervisory union,1348,687,658,2,1,–,6,36,44,11,7,624,583,–,–,16,18,126.03,10.70,6.50,69.65,44.58,248.79,21251000,5601000,4574000,11076000,15765,11965000,7260000
