ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): LOUISIANA

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency Type [District] 2016-17,Total Students All Grades (Includes AE) [District] 2016-17,Male Students [District] 2016-17,Female Students [District] 2016-17,American Indian/Alaska Native - male [District] 2016-17,American Indian/Alaska Native - female [District] 2016-17,Asian or Asian/Pacific Islander - male [District] 2016-17,Asian or Asian/Pacific Islander - female [District] 2016-17,Hispanic - male [District] 2016-17,Hispanic - female [District] 2016-17,Black or African American - male [District] 2016-17,Black or African American - female [District] 2016-17,White - male [District] 2016-17,White - female [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - male [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - female [District] 2016-17,Two or More Races - male [District] 2016-17,Two or More Races - female [District] 2016-17,Full-Time Equivalent (FTE) Teachers [District] 2016-17,Pupil/Teacher Ratio [District] 2016-17,Kindergarten Teachers [District] 2016-17,Elementary Teachers [District] 2016-17,Secondary Teachers [District] 2016-17,Total Staff [District] 2016-17,Total General Revenue (TOTALREV) [District Finance] 2016-17,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2016-17,Total Revenue - State Sources (TSTREV) [District Finance] 2016-17,Total Revenue - Local Sources (TLOCREV) [District Finance] 2016-17,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2016-17,Instruction Expenditures - Total (E13) [District Finance] 2016-17,Salary - Instruction Expenditures (Z33) [District Finance] 2016-17
INNOVATIONS IN MILESTONES INC.,Louisiana,LOUISIANA,Innovations in Milestones Inc.,7-Independent Charter District,409,192,210,–,–,–,1,2,2,192,207,–,–,–,–,2,3,28.19,14.51,1.00,27.19,="0.00",62.11,4278000,294000,3930000,54000,10460,1876000,1330000
INTERNATIONAL SCHOOL OF LOUISIANA,Louisiana,LOUISIANA,International School of Louisiana,7-Independent Charter District,1036,501,535,2,4,6,5,133,134,205,267,143,119,3,1,9,5,76.28,13.58,7.00,69.28,="0.00",173.26,11248000,733000,10132000,383000,10857,5674000,4162000
JACKSON PARISH,Louisiana,LOUISIANA,Jackson Parish,1-Regular local school district that is NOT a component of a supervisory union,2203,1167,1033,2,–,4,3,26,25,384,331,730,649,–,–,22,27,189.01,11.66,14.60,103.02,65.45,346.84,26610000,3021000,10862000,12727000,12079,14045000,8495000
JAMES M. SINGLETON CHARTER SCHOOL,LOUISIANA,LOUISIANA,RSD-Dryades YMCA,7-Independent Charter District,412,191,213,–,–,–,–,3,8,190,208,2,1,–,–,–,–,22.00,18.73,3.00,18.00,1.00,34.97,4415000,446000,1572000,2397000,10716,2240000,1555000
JCFA-EAST,LOUISIANA,LOUISIANA,JCFA-East,7-Independent Charter District,246,130,111,–,–,3,–,20,21,58,44,42,44,–,–,9,5,21.65,11.36,†,†,21.65,65.94,2834000,227000,1153000,1454000,11520,1147000,748000
JEFFERSON DAVIS PARISH,Louisiana,LOUISIANA,Jefferson Davis Parish,1-Regular local school district that is NOT a component of a supervisory union,5903,3018,2884,39,38,9,7,67,67,598,591,2125,2003,–,1,181,177,387.22,15.24,21.96,177.25,165.03,837.77,66107000,7236000,38226000,20645000,11199,34853000,20495000
JEFFERSON PARISH,Louisiana,LOUISIANA,Jefferson Parish,1-Regular local school district that is NOT a component of a supervisory union,48668,24879,23789,124,110,1180,1061,6451,6182,9821,9669,6594,6131,73,72,636,564,2814.90,17.29,149.69,1838.69,694.97,6048.09,591091000,76985000,221782000,292324000,12145,294589000,180233000
JOHN F. KENNEDY HIGH SCHOOL,LOUISIANA,LOUISIANA,RSD-New Beginnings Schools Foundation,7-Independent Charter District,783,380,396,–,1,–,–,5,3,378,391,1,4,–,–,–,–,46.19,16.95,†,†,46.19,87.40,9130000,1197000,3651000,4282000,11660,4215000,2742000
JOSEPH A. CRAIG CHARTER SCHOOL,LOUISIANA,LOUISIANA,Joseph A. Craig Charter School,7-Independent Charter District,315,153,152,–,–,–,–,9,6,149,151,–,–,–,–,–,–,15.10,20.86,="0.00",15.10,="0.00",47.10,3641000,760000,1294000,1587000,11559,1751000,1309000
JOSEPH S. CLARK PREPARATORY HIGH SCHOOL,LOUISIANA,LOUISIANA,Joseph S. Clark Preparatory High School,7-Independent Charter District,213,112,93,1,–,–,–,10,5,103,93,1,–,–,–,–,–,18.58,11.46,†,†,18.58,50.12,4455000,1657000,1402000,1396000,20915,2322000,1457000
JS CLARK LEADERSHIP ACADEMY,LOUISIANA,LOUISIANA,JS Clark Leadership Academy,7-Independent Charter District,311,136,164,–,–,–,–,–,–,139,170,2,–,–,–,–,–,20.95,14.84,†,9.95,11.00,44.14,3463000,836000,1751000,876000,11135,1539000,797000
KENILWORTH SCIENCE AND TECHNOLOGY CHARTER SCHOOL,LOUISIANA,LOUISIANA,RSD-Pelican Educational Foundation,7-Independent Charter District,577,321,255,3,1,1,3,22,30,278,213,12,5,1,–,4,4,36.36,15.87,†,36.36,="0.00",64.66,6789000,754000,2387000,3648000,11766,3485000,2291000
KIPP BELIEVE,LOUISIANA,LOUISIANA,KIPP Believe College Prep,7-Independent Charter District,867,441,422,1,–,–,1,13,11,424,407,4,4,–,1,1,–,52.69,16.45,4.70,47.99,="0.00",90.33,10546000,1868000,3668000,5010000,12164,5054000,3430000
KIPP BOOKER T WASHINGTON,LOUISIANA,LOUISIANA,KIPP Booker T. Washington High School,7-Independent Charter District,106,44,52,–,2,–,–,–,3,50,51,–,–,–,–,–,–,7.53,14.08,†,="0.94",6.59,12.23,–,–,–,–,="0",–,–
KIPP CENTRAL CITY,LOUISIANA,LOUISIANA,KIPP Central City Primary,7-Independent Charter District,498,247,245,–,–,–,1,5,4,245,238,1,2,–,–,–,2,31.05,16.04,2.82,28.23,†,50.81,5552000,928000,1833000,2791000,11149,3282000,1767000
KIPP CENTRAL CITY ACADEMY,LOUISIANA,LOUISIANA,KIPP Central City Academy,7-Independent Charter District,424,214,210,="0",1,="0",="0",5,1,207,208,1,="0",="0",="0",1,="0",26.35,16.09,†,26.35,="0.00",45.16,5061000,829000,1853000,2379000,11936,2718000,1682000
KIPP EAST COMMUNITY,LOUISIANA,LOUISIANA,KIPP East Community Primary,7-Independent Charter District,239,117,116,–,–,–,–,7,6,111,110,1,1,–,–,1,2,18.82,12.70,6.59,12.23,†,29.17,2845000,487000,939000,1419000,11904,1446000,1026000
KIPP LEADERSHIP,LOUISIANA,LOUISIANA,KIPP New Orleans Leadership Academy,7-Independent Charter District,843,455,382,–,–,–,–,9,4,443,376,5,3,–,–,1,2,51.75,16.29,5.65,46.10,="0.00",87.50,10537000,1646000,3964000,4927000,12499,5301000,3191000
KIPP MORIAL,LOUISIANA,LOUISIANA,KIPP McDonogh 15 School for the Creative Arts,7-Independent Charter District,792,413,378,4,2,3,1,8,6,389,361,5,7,1,–,3,2,58.33,13.58,3.76,53.63,="0.94",95.97,9849000,1813000,3406000,4630000,12436,5043000,3386000
KIPP RENAISSANCE,LOUISIANA,LOUISIANA,KIPP Renaissance High School,7-Independent Charter District,491,234,251,–,1,2,3,2,8,232,242,1,–,–,–,–,–,35.75,13.73,†,="0.94",34.81,56.45,6595000,967000,2736000,2892000,13432,3026000,2044000
LA SCHOOLS FOR THE DEAF AND VISUALLY IMPAIRED,Louisiana,LOUISIANA,LA Schools for the Deaf and Visually Impaired,5-State agency providing elementary and/or secondary level instruction,184,104,80,1,1,="0",1,7,4,61,47,33,25,="0",="0",2,2,2.53,72.73,="0.00",="0.00",1.53,139.43,†,†,†,†,="0",†,†
LAFAYETTE ACADEMY,LOUISIANA,LOUISIANA,RSD-Choice Foundation,7-Independent Charter District,1001,509,487,–,–,1,–,20,16,483,467,4,5,–,–,3,2,57.01,17.56,5.00,43.01,9.00,127.46,11428000,1847000,4026000,5555000,11417,6262000,4688000
LAFAYETTE CHARTER FOUNDATION,LOUISIANA,LOUISIANA,Lafayette Charter Foundation,7-Independent Charter District,777,392,380,1,–,3,4,3,9,221,232,166,138,–,–,–,–,54.00,14.39,5.00,30.00,19.00,81.48,7883000,583000,3308000,3992000,10145,4007000,2936000
LAFAYETTE PARISH,Louisiana,LOUISIANA,Lafayette Parish,1-Regular local school district that is NOT a component of a supervisory union,30015,15383,14632,32,41,379,347,1052,1020,6315,6213,7270,6712,6,5,329,294,1686.54,17.80,105.39,730.00,804.66,3360.16,357694000,38789000,124467000,194438000,11917,179590000,111651000
LAFOURCHE PARISH,Louisiana,LOUISIANA,Lafourche Parish,1-Regular local school district that is NOT a component of a supervisory union,14653,7517,7136,259,236,53,65,508,527,1476,1522,4804,4454,5,2,412,330,1089.13,13.45,60.92,627.69,356.05,2214.52,168500000,16040000,67523000,84937000,11499,77699000,51012000
LAKE CHARLES CHARTER ACADEMY FOUNDATION INC.,Louisiana,LOUISIANA,Lake Charles Charter Academy Foundation Inc.,7-Independent Charter District,857,427,426,–,–,3,2,22,20,363,367,38,40,1,–,1,–,58.85,14.56,6.00,43.85,9.00,79.62,10478000,961000,3961000,5556000,12226,4272000,3118000
LAKE CHARLES COLLEGE PREP,LOUISIANA,LOUISIANA,Lake Charles College Prep,7-Independent Charter District,399,216,179,–,–,6,3,6,6,186,157,19,14,–,–,1,1,34.82,11.46,†,†,34.82,49.02,4713000,372000,1885000,2456000,11812,2041000,1360000
LANGSTON HUGHES CHARTER ACADEMY,LOUISIANA,LOUISIANA,Langston Hughes Charter Academy,7-Independent Charter District,803,431,366,1,2,–,–,10,4,419,364,1,–,–,–,2,–,49.70,16.16,3.00,44.70,="0.00",113.00,9809000,1931000,3538000,4340000,12215,5235000,3698000
LASALLE PARISH,Louisiana,LOUISIANA,LaSalle Parish,1-Regular local school district that is NOT a component of a supervisory union,2595,1344,1248,22,15,1,–,7,7,135,133,1157,1081,–,–,23,14,234.64,11.06,12.03,131.35,77.52,403.73,30367000,2553000,16974000,10840000,11702,15845000,9599000
LAUREL OAKS CHARTER SCHOOL,LOUISIANA,LOUISIANA,Laurel Oaks Charter School,7-Independent Charter District,43,14,20,–,–,–,–,–,3,18,20,–,1,–,–,1,–,11.08,3.88,11.08,†,†,16.08,613000,42000,173000,398000,14256,260000,168000
LAWRENCE D. CROCKER COLLEGE PREP,LOUISIANA,LOUISIANA,RSD-New Orleans College Preparatory Academies,7-Independent Charter District,554,276,271,–,–,–,–,9,11,267,261,2,3,–,–,1,–,32.72,16.93,3.90,23.42,4.43,62.27,7065000,1259000,2484000,3322000,12753,3311000,2551000
LINCOLN PARISH,Louisiana,LOUISIANA,Lincoln Parish,1-Regular local school district that is NOT a component of a supervisory union,5694,2898,2796,8,5,28,44,145,168,1335,1336,1348,1224,1,1,33,18,471.38,12.08,32.49,255.22,165.70,754.18,80199000,7800000,32169000,40230000,14085,39639000,24618000
LINCOLN PREPARATORY SCHOOL,LOUISIANA,LOUISIANA,Lincoln Preparatory School: A TMCF Collegiate Acad,7-Independent Charter District,381,191,183,–,–,–,–,1,–,179,180,7,2,–,–,7,5,28.91,13.18,="0.00",8.91,20.00,54.12,4762000,427000,1995000,2340000,12499,2575000,1686000
LIVINGSTON COLLEGIATE ACADEMY,LOUISIANA,LOUISIANA,Livingston Collegiate Academy,7-Independent Charter District,163,76,78,–,–,–,–,1,–,76,78,3,5,–,–,–,–,8.00,20.38,1.00,†,7.00,18.48,2333000,425000,819000,1089000,14313,644000,425000
LIVINGSTON PARISH,Louisiana,LOUISIANA,Livingston Parish,1-Regular local school district that is NOT a component of a supervisory union,25150,12926,12224,30,13,95,98,664,671,1096,997,10930,10335,10,7,101,103,1586.42,15.85,92.33,962.17,492.69,3407.94,295534000,45141000,162180000,88213000,11751,146355000,88879000
LORD BEACONSFIELD LANDRY-OLIVER PERRY WALKER HIGH,LOUISIANA,LOUISIANA,Lord Beaconsfield Landry-Oliver Perry Walker High,7-Independent Charter District,1207,602,601,1,–,1,–,14,4,585,595,1,2,1,3,–,–,30.00,40.23,†,2.00,28.00,106.00,13946000,2135000,5334000,6477000,11554,7357000,4532000
LOUISIANA KEY ACADEMY,LOUISIANA,LOUISIANA,Louisiana Key Academy,7-Independent Charter District,295,191,104,="0",="0",="0",="0",8,4,121,52,61,47,="0",="0",1,1,32.97,8.95,1.00,31.97,†,45.64,4336000,298000,1480000,2558000,14698,2055000,1550000
LOUISIANA SCHOOL FOR MATH SCIENCE & THE ARTS,Louisiana,LOUISIANA,Louisiana School for Math Science & the Arts,5-State agency providing elementary and/or secondary level instruction,330,117,211,3,3,14,13,7,10,9,20,79,156,6,10,–,–,37.50,8.80,†,†,37.50,80.11,8605000,="0",8104000,501000,26076,4622000,2970000
LOUISIANA SPECIAL EDUCATION CENTER,Louisiana,LOUISIANA,Louisiana Special Education Center,5-State agency providing elementary and/or secondary level instruction,31,20,11,="0",1,="0",="0",="0",="0",7,3,13,7,="0",="0",="0",="0",="0.00",†,–,="0.00",="0.00",189.57,†,†,†,†,="0",†,†
LOUISIANA VIRTUAL CHARTER ACADEMY,LOUISIANA,LOUISIANA,Louisiana Virtual Charter Academy,7-Independent Charter District,1913,965,947,18,9,9,6,15,17,235,206,679,700,–,1,10,8,51.11,37.43,1.00,28.19,21.92,79.90,17541000,916000,8815000,7810000,9169,10205000,3009000
LSU LABORATORY SCHOOL,Louisiana,LOUISIANA,LSU Laboratory School,8-Other education agencies,1447,716,729,1,1,25,37,11,15,87,63,589,613,–,–,4,1,84.46,17.13,4.75,35.60,44.11,132.50,15171000,="0",7534000,7637000,10484,9190000,6109000
LYCEE FRANCAIS DE LA NOUVELLE-ORLEANS,Louisiana,LOUISIANA,Lycee Francais de la Nouvelle-Orleans,7-Independent Charter District,715,301,414,1,1,2,6,46,57,54,69,168,251,1,1,29,29,50.00,14.30,7.00,38.00,2.00,95.00,8819000,172000,3576000,5071000,12334,4829000,3672000
MADISON PARISH,Louisiana,LOUISIANA,Madison Parish,1-Regular local school district that is NOT a component of a supervisory union,1326,714,609,2,–,5,7,4,8,659,563,40,28,–,–,5,5,84.41,15.71,3.72,41.72,33.08,214.57,19095000,4539000,8153000,6403000,14400,7656000,4551000
MARTIN BEHRMAN CHARTER ACAD OF CREATIVE ARTS & SCI,LOUISIANA,LOUISIANA,Martin Behrman Charter Acad of Creative Arts & Sci,7-Independent Charter District,737,370,365,1,1,–,1,5,1,357,348,7,6,2,7,–,1,24.50,30.08,1.00,21.50,1.00,66.00,8066000,1521000,2664000,3881000,10944,4416000,2788000
MARY D. COGHILL CHARTER SCHOOL,LOUISIANA,LOUISIANA,RSD-Better Choice Foundation,7-Independent Charter District,619,300,319,="0",="0",="0",="0",="0",="0",299,318,1,1,="0",="0",="0",="0",37.61,16.46,2.00,35.61,="0.00",64.95,6479000,1022000,2113000,3344000,10467,4101000,2894000
MCDONOGH #32 LITERACY CHARTER SCHOOL,LOUISIANA,LOUISIANA,McDonogh #32 Literacy Charter School,7-Independent Charter District,500,256,237,–,–,–,–,10,13,245,225,1,–,–,–,3,3,16.00,31.25,1.00,15.00,="0.00",66.00,5934000,1098000,2212000,2624000,11868,3608000,2199000
MILDRED OSBORNE CHARTER SCHOOL,LOUISIANA,LOUISIANA,RSD-Arise Academy,7-Independent Charter District,494,269,217,–,–,–,–,5,6,266,214,2,1,–,–,–,–,33.72,14.65,2.00,31.72,="0.00",76.79,6030000,1258000,2010000,2762000,12206,2955000,1994000
MOREHOUSE PARISH,Louisiana,LOUISIANA,Morehouse Parish,1-Regular local school district that is NOT a component of a supervisory union,4079,2050,2029,1,1,6,5,14,20,1353,1324,653,648,1,10,22,21,240.45,16.96,17.00,122.79,92.66,402.57,50465000,8681000,28128000,13656000,12372,27252000,15330000
MORRIS JEFF COMMUNITY SCHOOL,LOUISIANA,LOUISIANA,RSD-Morris Jeff Community School,7-Independent Charter District,738,403,331,–,–,3,4,44,38,201,179,137,100,–,–,20,12,37.58,19.64,3.00,30.58,="0.00",87.71,9021000,644000,3535000,4842000,12224,5018000,3163000
NATCHITOCHES PARISH,Louisiana,LOUISIANA,Natchitoches Parish,1-Regular local school district that is NOT a component of a supervisory union,6337,3229,3107,26,24,22,6,55,76,1887,1769,1173,1160,–,1,67,71,450.58,14.06,23.42,271.42,138.79,821.83,67001000,9203000,34595000,23203000,10573,40548000,24767000
NELSON ELEMENTARY SCHOOL,LOUISIANA,LOUISIANA,RSD-New Beginnings Schools Foundation,7-Independent Charter District,456,258,193,12,4,1,–,1,1,244,189,2,–,–,–,–,2,27.32,16.69,2.00,20.32,3.00,60.82,5115000,906000,1812000,2397000,11217,2519000,1774000
NEW ORLEANS CENTER FOR CREATIVE ARTS,Louisiana,LOUISIANA,New Orleans Center for Creative Arts,5-State agency providing elementary and/or secondary level instruction,243,76,165,–,3,–,4,8,10,29,40,36,97,1,1,4,10,20.00,12.15,1.00,†,19.00,42.03,8017000,="0",8017000,="0",32992,4418000,3075000
NEW ORLEANS MILITARY & MARITIME ACADEMY,Louisiana,LOUISIANA,New Orleans Military & Maritime Academy,7-Independent Charter District,745,484,259,3,2,9,7,62,40,243,133,155,64,–,–,13,14,58.77,12.68,†,†,58.77,81.66,9496000,965000,3156000,5375000,12746,4846000,3727000
NEW VISION LEARNING ACADEMY,Louisiana,LOUISIANA,New Vision Learning Academy,7-Independent Charter District,350,162,176,–,–,–,–,–,–,168,182,–,–,–,–,–,–,16.61,21.07,3.88,10.80,="0.00",28.35,3611000,531000,3064000,16000,10317,2253000,1402000
NORTHEAST CLAIBORNE CHARTER,LOUISIANA,LOUISIANA,Northeast Claiborne Charter,7-Independent Charter District,169,78,84,–,–,–,–,–,6,43,42,38,37,–,–,1,2,3.00,56.33,="0.00",2.00,1.00,12.93,1728000,84000,970000,674000,10225,324000,193000
NORTHSHORE CHARTER SCHOOL INC.,LOUISIANA,LOUISIANA,Northshore Charter School Inc.,7-Independent Charter District,649,346,301,1,1,1,2,6,14,148,139,177,137,–,–,14,9,44.98,14.43,4.00,23.92,17.06,105.95,7794000,971000,4490000,2333000,12009,4433000,2718000
OFFICE OF JUVENILE JUSTICE,Louisiana,LOUISIANA,Office of Juvenile Justice,5-State agency providing elementary and/or secondary level instruction,237,237,="0",="0",="0",1,="0",4,="0",198,="0",32,="0",="0",="0",2,="0",37.00,6.41,†,4.00,33.00,55.50,18974000,950000,16925000,1099000,80059,11153000,="0"
ORLEANS PARISH,Louisiana,LOUISIANA,Orleans Parish,1-Regular local school district that is NOT a component of a supervisory union,15336,7486,7849,21,15,312,344,499,545,5159,5523,1306,1207,–,8,190,207,1054.30,14.55,52.59,566.40,399.25,2161.40,454603000,43046000,72391000,339166000,29643,92537000,57433000
OUACHITA PARISH,Louisiana,LOUISIANA,Ouachita Parish,1-Regular local school district that is NOT a component of a supervisory union,19420,9891,9528,6,17,126,121,269,259,3289,3289,6090,5722,5,–,106,121,1183.13,16.41,78.76,701.67,366.25,2666.91,224177000,21138000,123010000,80029000,11544,104516000,69079000
PAUL HABANS CHARTER SCHOOL,LOUISIANA,LOUISIANA,RSD-Crescent City Schools,7-Independent Charter District,630,329,296,–,–,–,2,39,23,286,271,6,1,–,1,1,–,46.95,13.42,6.61,32.95,4.39,90.50,7250000,1267000,2775000,3208000,11508,3473000,2453000
PHILLIS WHEATLEY COMMUNITY SCHOOL,LOUISIANA,LOUISIANA,Phillis Wheatley Community School,7-Independent Charter District,730,371,351,–,–,–,–,44,36,328,316,3,3,–,–,–,–,43.40,16.82,2.00,38.69,="0.00",101.72,9421000,1693000,2981000,4747000,12905,4735000,3250000
PIERRE A. CAPDAU CHARTER SCHOOL AT AVERY ALEXANDER,LOUISIANA,LOUISIANA,RSD-New Beginnings Schools Foundation,7-Independent Charter District,372,192,173,–,–,–,1,21,18,170,158,3,–,–,–,1,–,22.99,16.18,1.00,19.63,1.36,47.57,4368000,745000,1594000,2029000,11742,1965000,1396000
PLAQUEMINES PARISH,Louisiana,LOUISIANA,Plaquemines Parish,1-Regular local school district that is NOT a component of a supervisory union,4059,2123,1936,33,28,121,114,126,111,616,534,1160,1081,5,1,62,67,357.18,11.36,21.94,219.38,115.86,823.49,75083000,18998000,11015000,45070000,18498,30628000,19810000
POINTE COUPEE PARISH,Louisiana,LOUISIANA,Pointe Coupee Parish,1-Regular local school district that is NOT a component of a supervisory union,2989,1524,1462,3,1,1,–,49,45,940,903,512,500,–,–,20,15,176.64,16.92,2.00,98.65,65.29,307.91,34928000,6757000,12373000,15798000,11686,16928000,10105000
RAPIDES PARISH,Louisiana,LOUISIANA,Rapides Parish,1-Regular local school district that is NOT a component of a supervisory union,23517,12015,11502,66,58,158,169,399,341,5175,5005,6124,5803,4,8,89,118,1314.49,17.89,79.40,579.18,586.57,2683.90,262631000,29545000,137446000,95640000,11168,139056000,88540000
RED RIVER PARISH,Louisiana,LOUISIANA,Red River Parish,1-Regular local school district that is NOT a component of a supervisory union,1484,748,734,1,3,4,5,13,11,463,467,253,226,–,–,15,23,123.32,12.03,6.92,66.41,46.99,243.00,23333000,2899000,5496000,14938000,15723,11294000,7397000
RENEW ACCELERATED HIGH SCHOOL,LOUISIANA,LOUISIANA,ReNew Accelerated High School,7-Independent Charter District,337,164,173,="0",1,="0",="0",12,8,150,162,2,2,="0",="0",="0",="0",27.55,12.23,2.05,7.71,17.79,63.15,3973000,569000,1783000,1621000,11789,1687000,1163000
RENEW CULTURAL ARTS ACADEMY AT LIVE OAK ELEMENTARY,LOUISIANA,LOUISIANA,ReNEW Cultural Arts Academy at Live Oak Elementary,7-Independent Charter District,622,310,307,1,1,–,–,32,39,275,258,5,10,–,–,–,1,63.77,9.75,="0.96",52.40,2.89,124.17,9299000,2011000,3711000,3577000,14950,3943000,2760000
RENEW DOLORES T. AARON ELEMENTARY,LOUISIANA,LOUISIANA,ReNEW Dolores T. Aaron Elementary,7-Independent Charter District,847,432,409,–,–,1,1,12,14,419,395,3,2,–,–,–,–,51.76,16.36,2.89,43.05,3.89,91.43,9749000,1720000,3591000,4438000,11510,4787000,3084000
RENEW MCDONOGH CITY PARK ACADEMY,LOUISIANA,LOUISIANA,ReNew McDonogh City Park Academy,7-Independent Charter District,517,253,258,–,–,–,–,6,14,246,240,3,6,1,1,–,–,36.75,14.07,1.93,29.73,1.17,111.10,9579000,1863000,4085000,3631000,18528,3668000,2788000
RENEW SCHAUMBURG ELEMENTARY,LOUISIANA,LOUISIANA,ReNEW Schaumburg Elementary,7-Independent Charter District,876,458,413,1,–,3,6,14,16,441,392,–,2,–,–,1,–,65.50,13.37,4.86,45.39,6.65,129.67,10520000,2060000,3934000,4526000,12009,4592000,3364000
RENEW SCITECH ACADEMY AT LAUREL,LOUISIANA,LOUISIANA,ReNEW SciTech Academy at Laurel,7-Independent Charter District,697,356,335,–,–,3,–,11,9,339,328,2,2,–,–,3,–,51.28,13.59,3.69,39.73,3.97,112.24,8653000,1465000,3006000,4182000,12415,4338000,2963000
RICHLAND PARISH,Louisiana,LOUISIANA,Richland Parish,1-Regular local school district that is NOT a component of a supervisory union,2986,1539,1446,1,–,5,7,13,19,836,793,664,612,3,2,17,14,241.73,12.35,11.03,139.48,86.23,467.82,36564000,5722000,17757000,13085000,12245,17556000,10797000
RSD-BATON ROUGE BRIDGE ACADEMY INC,LOUISIANA,LOUISIANA,RSD-Baton Rouge Bridge Academy Inc.,7-Independent Charter District,144,59,76,–,–,–,–,1,–,61,80,1,–,–,–,–,1,11.55,12.47,3.00,8.55,†,15.46,1999000,80000,997000,922000,13882,773000,522000
RSD-CHOICE FOUNDATION,LOUISIANA,LOUISIANA,RSD-Choice Foundation,7-Independent Charter District,497,246,242,–,–,–,–,6,9,245,235,–,–,–,–,–,2,33.79,14.71,3.00,25.00,4.79,64.52,6233000,1059000,2121000,3053000,12541,2768000,2024000
RSD-COLLEGIATE ACADEMIES,LOUISIANA,LOUISIANA,RSD-Collegiate Academies,7-Independent Charter District,†,-14,-14,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,–,–,–,–,†,–,–
RSD-NEW BEGINNINGS SCHOOLS FOUNDATION,LOUISIANA,LOUISIANA,RSD-New Beginnings Schools Foundation,7-Independent Charter District,470,261,202,–,1,–,1,2,3,264,198,–,1,–,–,–,–,28.45,16.52,2.00,21.68,2.00,62.28,4993000,814000,1802000,2377000,10623,2282000,1620000
SABINE PARISH,Louisiana,LOUISIANA,Sabine Parish,1-Regular local school district that is NOT a component of a supervisory union,4402,2240,2160,400,367,3,6,53,60,506,509,1104,1069,–,–,175,150,285.02,15.44,19.99,147.42,99.98,648.95,52873000,9108000,27765000,16000000,12011,27162000,15932000
SAMUEL J. GREEN CHARTER SCHOOL,LOUISIANA,LOUISIANA,Samuel J. Green Charter School,7-Independent Charter District,470,254,209,–,–,–,–,10,7,238,204,8,2,–,–,1,–,27.00,17.41,2.00,24.00,1.00,78.76,6035000,1011000,2284000,2740000,12840,3395000,2323000
SHREVEPORT CHARTER SCHOOL INC.,LOUISIANA,LOUISIANA,Shreveport Charter School Inc.,7-Independent Charter District,701,317,375,–,–,–,–,3,–,316,379,2,1,–,–,–,–,35.84,19.56,4.57,14.00,17.27,95.50,7695000,986000,3707000,3002000,10977,4092000,2287000
SMOTHERS ACADEMY PREPARATORY SCHOOL,LOUISIANA,LOUISIANA,Smothers Academy Preparatory School,7-Independent Charter District,324,321,-7,–,–,1,–,2,–,313,–,8,–,–,–,–,–,22.01,14.72,2.00,17.01,3.00,44.79,3689000,94000,1548000,2047000,11386,1815000,1287000
SOPHIE B. WRIGHT INSTITUTE OF ACADEMIC EXCELLENCE,LOUISIANA,LOUISIANA,RSD-Institute for Academic Excellence,7-Independent Charter District,469,228,241,="0",="0",1,="0",15,9,207,229,2,2,="0",="0",3,1,30.32,15.47,1.00,4.00,25.32,74.71,6077000,992000,2028000,3057000,12957,2016000,1476000
SOUTHERN UNIVERSITY LAB SCHOOL,Louisiana,LOUISIANA,Southern University Lab School,8-Other education agencies,728,364,361,6,5,–,2,5,10,259,188,93,149,–,–,3,8,29.50,24.68,1.00,8.50,19.00,45.99,5461000,167000,3686000,1608000,7501,2395000,1621000
SOUTHWEST LOUISIANA CHARTER ACADEMY,LOUISIANA,LOUISIANA,Southwest Louisiana Charter Academy,7-Independent Charter District,633,309,318,–,–,1,4,16,7,274,288,21,22,–,–,–,–,36.64,17.28,3.00,25.64,8.00,72.10,7791000,937000,2849000,4005000,12308,3878000,2904000
SPECIAL SCHOOL DISTRICT,Louisiana,LOUISIANA,Special School District,5-State agency providing elementary and/or secondary level instruction,253,191,62,="0",="0",="0",="0",2,1,115,33,72,27,="0",="0",2,1,4.35,58.16,="0.00",1.00,3.35,34.81,†,†,†,†,="0",†,†
ST. BERNARD PARISH,Louisiana,LOUISIANA,St. Bernard Parish,1-Regular local school district that is NOT a component of a supervisory union,7535,3886,3649,14,26,87,89,496,439,1137,1153,2009,1814,1,2,142,126,586.72,12.84,26.08,364.21,163.54,953.02,109811000,37518000,41451000,30842000,14573,46297000,26689000
ST. CHARLES PARISH,Louisiana,LOUISIANA,St. Charles Parish,1-Regular local school district that is NOT a component of a supervisory union,9319,4760,4559,13,12,70,57,275,305,1608,1530,2678,2534,5,5,111,116,682.81,13.65,31.06,448.96,202.79,1263.30,164048000,11432000,30915000,121701000,17604,88619000,53409000
ST. HELENA PARISH,Louisiana,LOUISIANA,St. Helena Parish,1-Regular local school district that is NOT a component of a supervisory union,1220,614,600,–,–,–,–,10,2,558,552,43,43,–,–,6,6,73.06,16.70,1.64,38.54,31.88,139.54,15702000,2399000,9307000,3996000,12870,6068000,3514000
